Comp;Filename;RT;Area
S133.P01;20220711_04;16.128;688319
M045.P07;20220711_04;4.357;486890
S136.P01;20220711_04;17.115;185659
R137.P01;20220711_04;13.151;154188
S150.P01;20220711_04;17.03;103929
N043.P10;20220711_04;7.053;82009
M079.P01.3;20220711_04;3.373;69150
N059.P06;20220711_04;9.28;60597
S113.P01;20220711_04;15.873;53722
S105.P02;20220711_04;17.273;44163
T091.P08;20220711_04;25.187;38897
N094.P04;20220711_04;9.336;25502
S084.P01;20220711_04;16.211;23343
S085.P03;20220711_04;17.686;17276
S138.P01;20220711_04;17.224;7599
Q081.P01;20220711_04;9.475;7107
N070.P03;20220711_04;8.965;2914
S133.P01;20220711_05;16.128;760484
M058.P09;20220711_05;4.73;677095
M045.P07;20220711_05;4.362;550645
R137.P01;20220711_05;13.15;194273
S136.P01;20220711_05;17.117;187309
M045.P02;20220711_05;3.298;141005
N059.P06;20220711_05;9.293;123759
S150.P01;20220711_05;17.032;91951
V043.P07;20220711_05;3.846;71627
Q085.P01;20220711_05;10.339;57718
N043.P10;20220711_05;7.177;56448
S113.P01;20220711_05;15.869;50256
S133.P05;20220711_05;17.147;42646
T091.P08;20220711_05;25.181;40918
M057.P05;20220711_05;4.357;32521
R135.P01;20220711_05;14.766;27826
S085.P03;20220711_05;17.684;23728
M056.P02;20220711_05;3.181;20985
V056.P03;20220711_05;4.43;16245
S084.P01;20220711_05;16.216;12296
Q097.P03;20220711_05;11.365;10630
S138.P01;20220711_05;17.222;8785
M069.P05;20220711_05;4.8;8389
Q081.P01;20220711_05;9.477;4865
N059.P06;20220711_05;9.18;3681
Q128.P02;20220711_05;9.51;1771
S055.P06;20220711_05;20.561;1146
S133.P01;20220711_06;16.126;776011
M045.P07;20220711_06;4.366;756354
M045.P02;20220711_06;3.249;463719
S136.P01;20220711_06;17.11;235764
R137.P01;20220711_06;13.146;223282
S150.P01;20220711_06;17.029;113689
M071.P01;20220711_06;2.753;83410
N059.P06;20220711_06;9.208;75450
N094.P04;20220711_06;9.3;64213
N057.P06;20220711_06;7.703;53598
N044.P11;20220711_06;9.2;50166
S113.P01;20220711_06;15.869;49224
T091.P08;20220711_06;25.188;46374
N059.P06;20220711_06;9.151;39763
Q085.P01;20220711_06;10.316;34413
Q059.P01;20220711_06;10.084;25289
S085.P03;20220711_06;17.691;24236
R135.P01;20220711_06;14.765;17861
S114.P02;20220711_06;18.203;11970
S084.P01;20220711_06;16.217;11396
M056.P02;20220711_06;3.19;9908
S138.P01;20220711_06;17.214;8361
Q081.P01;20220711_06;9.471;7790
Q125.P01;20220711_06;9.899;5197
N085.P02;20220711_06;7.942;3484
Q097.P03;20220711_06;11.384;3041
M045.P07;20220711_07;4.369;1094455
S133.P01;20220711_07;16.121;762359
M045.P06;20220711_07;4.026;252446
S136.P01;20220711_07;17.102;245055
N057.P07;20220711_07;7.525;235565
R137.P01;20220711_07;13.146;191030
N094.P04;20220711_07;9.253;177270
N057.P10;20220711_07;8.567;150315
N059.P06;20220711_07;9.118;135984
M043.P03;20220711_07;3.08;92407
S150.P01;20220711_07;17.021;88833
N044.P11;20220711_07;9.11;86937
S113.P01;20220711_07;15.852;59187
T091.P08;20220711_07;25.181;51632
Q085.P01;20220711_07;10.247;42550
M057.P05;20220711_07;4.233;40100
S084.P01;20220711_07;16.212;29092
R135.P01;20220711_07;14.743;25853
S085.P03;20220711_07;17.685;25174
Q057.P09;20220711_07;10.689;21689
S138.P01;20220711_07;17.203;8182
Q081.P01;20220711_07;9.469;7395
M045.P07;20220711_09;4.362;1011135
S133.P01;20220711_09;16.118;708971
M045.P06;20220711_09;4.008;263615
S136.P01;20220711_09;17.098;250742
N108.P01;20220711_09;7.193;232328
N059.P06;20220711_09;9.109;188470
R137.P01;20220711_09;13.142;170985
N057.P07;20220711_09;7.533;145072
M043.P03;20220711_09;3.077;106126
S150.P01;20220711_09;17.019;87605
M055.P05;20220711_09;4.737;63447
Q085.P01;20220711_09;10.237;57967
M043.P08;20220711_09;3.997;55119
S113.P01;20220711_09;15.849;52381
T091.P08;20220711_09;25.178;52286
N094.P04;20220711_09;9.27;48446
M044.P05;20220711_09;4.064;32575
S085.P03;20220711_09;17.673;31788
N044.P11;20220711_09;9.096;28879
M079.P01.3;20220711_09;3.441;26284
Q057.P09;20220711_09;10.693;22987
S084.P01;20220711_09;16.205;22001
R135.P01;20220711_09;14.73;16001
N043.P15;20220711_09;8.419;11610
S138.P01;20220711_09;17.198;9820
Q081.P01;20220711_09;9.469;4582
S149.P01;20220711_09;17.368;4160
N085.P02;20220711_09;7.823;3565
S058.P11;20220711_09;21.05;2350
S133.P01;20220711_11;16.118;749818
M045.P07;20220711_11;4.361;601193
S136.P01;20220711_11;17.096;260518
R137.P01;20220711_11;13.138;215655
N057.P07;20220711_11;7.524;128385
M043.P03;20220711_11;3.062;124766
M043.P08;20220711_11;4;115461
N094.P04;20220711_11;9.251;113926
S150.P01;20220711_11;17.015;91922
S113.P01;20220711_11;15.847;69932
M057.P05;20220711_11;4.364;54628
M071.P01;20220711_11;2.723;45384
S105.P02;20220711_11;17.222;41381
N044.P11;20220711_11;9.083;37986
Q085.P01;20220711_11;10.238;36631
M079.P01.3;20220711_11;3.419;33787
Q057.P09;20220711_11;10.688;31714
S085.P03;20220711_11;17.676;28469
M045.P06;20220711_11;4.057;27558
R135.P01;20220711_11;14.727;24749
M056.P02;20220711_11;3.169;22279
S128.P01;20220711_11;17.545;21318
M044.P05;20220711_11;3.997;20996
R094.P02;20220711_11;14.798;13986
S138.P01;20220711_11;17.199;10524
Q081.P01;20220711_11;9.467;9723
S091.P02;20220711_11;18.52;6991
S058.P11;20220711_11;21.047;2829
Q125.P01;20220711_11;9.9;1149
M045.P07;20220712_05;4.379;1073270
S133.P01;20220712_05;16.119;595097
M055.P05;20220712_05;4.74;363235
M045.P06;20220712_05;4.013;255612
S136.P01;20220712_05;17.1;209932
R137.P01;20220712_05;13.143;133864
S150.P01;20220712_05;17.018;80510
R056.P01;20220712_05;12.823;63962
N057.P07;20220712_05;7.556;60703
N094.P04;20220712_05;9.268;60655
S113.P01;20220712_05;15.849;58808
N059.P06;20220712_05;9.263;42318
T091.P08;20220712_05;25.179;41537
Q085.P01;20220712_05;10.235;32467
M109.P01;20220712_05;5.569;25680
Q122.P02;20220712_05;10.29;25035
S085.P03;20220712_05;17.676;22172
Q057.P09;20220712_05;10.696;21941
M069.P05;20220712_05;4.805;17800
M079.P01.3;20220712_05;3.444;10377
S138.P01;20220712_05;17.2;9657
Q081.P01;20220712_05;9.46;9577
S084.P01;20220712_05;16.214;9179
Q097.P03;20220712_05;11.282;7477
R099.P01;20220712_05;13.39;5583
N074.P02;20220712_05;7.413;5377
M074.P01;20220712_05;3.727;5137
Q069.P02;20220712_05;11.28;4814
N070.P03;20220712_05;8.96;1557
T055.P04;20220712_05;24.633;1301
M058.P09;20220712_06;4.572;978827
S133.P01;20220712_06;16.114;953039
M045.P07;20220712_06;4.346;722650
N059.P06;20220712_06;9.184;672312
M045.P02;20220712_06;3.243;544308
M045.P06;20220712_06;3.991;415409
S136.P01;20220712_06;17.103;318616
R137.P01;20220712_06;13.135;284012
N057.P06;20220712_06;7.653;213868
S113.P01;20220712_06;15.85;108151
M069.P05;20220712_06;4.793;94230
N094.P04;20220712_06;9.26;76129
N043.P10;20220712_06;7.05;75600
M109.P01;20220712_06;5.556;55141
T091.P08;20220712_06;25.173;41721
Q097.P03;20220712_06;11.33;28527
S114.P02;20220712_06;18.177;27310
R094.P02;20220712_06;14.759;15973
S085.P03;20220712_06;17.667;14926
S091.P02;20220712_06;18.513;14711
R135.P01;20220712_06;14.739;14418
S138.P01;20220712_06;17.206;12200
S084.P01;20220712_06;16.208;12032
R099.P01;20220712_06;13.274;11978
M093.P01;20220712_06;5.346;10895
Q081.P01;20220712_06;9.47;7329
S058.P11;20220712_06;21.043;2285
N085.P02;20220712_06;7.95;1906
M045.P07;20220712_11;4.369;1339180
S133.P01;20220712_11;16.12;744065
S136.P01;20220712_11;17.1;239899
M045.P06;20220712_11;4.011;206727
N059.P06;20220712_11;9.117;204486
R137.P01;20220712_11;13.145;147578
M043.P03;20220712_11;3.079;132294
S150.P01;20220712_11;17.017;79707
S113.P01;20220712_11;15.85;62245
Q085.P01;20220712_11;10.244;50694
M057.P05;20220712_11;4.359;39805
M109.P01;20220712_11;5.564;37382
N094.P04;20220712_11;9.3;34221
Q057.P09;20220712_11;10.687;33922
R135.P01;20220712_11;14.714;25893
S085.P03;20220712_11;17.675;25779
S084.P01;20220712_11;16.209;13848
S138.P01;20220712_11;17.196;11582
M069.P05;20220712_11;4.808;10839
Q081.P01;20220712_11;9.467;5656
R099.P01;20220712_11;13.33;4259
R094.P02;20220712_11;14.773;3499
N070.P03;20220712_11;8.963;1917
M045.P07;20220712_12;4.359;1289235
S133.P01;20220712_12;16.121;790107
V043.P07;20220712_12;3.68;739137
R137.P01;20220712_12;13.141;277032
S136.P01;20220712_12;17.109;264283
M071.P01;20220712_12;2.745;260279
M043.P08;20220712_12;4.016;207517
N059.P06;20220712_12;9.243;186455
W043.P05;20220712_12;9.243;186455
S150.P01;20220712_12;17.02;161335
V043.P08;20220712_12;4.649;114782
N094.P04;20220712_12;9.315;111431
S113.P01;20220712_12;15.864;97127
N043.P10;20220712_12;7.044;81505
T091.P08;20220712_12;25.174;33335
S084.P01;20220712_12;16.21;23758
S085.P03;20220712_12;17.673;23149
S138.P01;20220712_12;17.216;11906
Q081.P01;20220712_12;9.468;9020
R099.P01;20220712_12;13.38;6664
R094.P02;20220712_12;14.78;5965
S071.P05;20220712_12;18.41;1516
M045.P07;20220712_13;4.37;1015471
S133.P01;20220712_13;16.117;690125
M045.P06;20220712_13;4.007;290815
S136.P01;20220712_13;17.098;234176
M043.P03;20220712_13;3.076;175461
M043.P08;20220712_13;4.031;165391
N057.P07;20220712_13;7.537;152417
R137.P01;20220712_13;13.142;135693
M056.P03;20220712_13;3.595;112322
S113.P01;20220712_13;15.847;58223
N108.P01;20220712_13;7.223;57339
M069.P03;20220712_13;4.363;49156
T091.P08;20220712_13;25.172;48995
N044.P02;20220712_13;6.071;46258
Q057.P09;20220712_13;10.686;37848
Q085.P01;20220712_13;10.238;31573
N043.P15;20220712_13;8.4;31175
M079.P01.3;20220712_13;3.419;28631
S085.P03;20220712_13;17.675;28027
R094.P02;20220712_13;14.756;25085
R135.P01;20220712_13;14.719;22875
M044.P05;20220712_13;4.075;20121
S084.P01;20220712_13;16.208;19492
M071.P01;20220712_13;2.723;14564
S138.P01;20220712_13;17.2;10953
N057.P10;20220712_13;8.577;10784
Q081.P01;20220712_13;9.461;5753
S133.P01;20220712_15;16.117;1044748
N108.P01;20220712_15;7.19;1000988
M045.P07;20220712_15;4.34;561602
N057.P07;20220712_15;7.602;314011
R137.P01;20220712_15;13.139;258355
S136.P01;20220712_15;17.106;245366
N044.P11;20220712_15;9.126;203350
M071.P01;20220712_15;2.8;201646
V043.P08;20220712_15;4.642;116473
S150.P01;20220712_15;17.019;107531
S113.P01;20220712_15;15.852;79819
N057.P10;20220712_15;8.62;77995
Q057.P09;20220712_15;10.697;42372
Q085.P01;20220712_15;10.253;38238
Q056.P02;20220712_15;9.79;35872
S085.P03;20220712_15;17.677;20348
S084.P01;20220712_15;16.21;19884
Q097.P03;20220712_15;11.31;15098
M093.P01;20220712_15;5.312;12608
Q081.P01;20220712_15;9.463;10021
S138.P01;20220712_15;17.203;7614
R099.P01;20220712_15;13.323;6834
Q054.P01;20220712_15;9.507;3643
S091.P02;20220712_15;18.497;2946
S071.P05;20220712_15;18.409;2279
Q125.P01;20220712_15;9.91;1767
M109.P01;20220712_15;5.643;0
S133.P01;20220712_16;16.125;747703
M045.P07;20220712_16;4.383;723465
S136.P01;20220712_16;17.109;202823
M058.P09;20220712_16;4.64;202079
N057.P07;20220712_16;7.599;183771
R137.P01;20220712_16;13.147;167590
N059.P06;20220712_16;9.181;128715
M057.P05;20220712_16;4.395;75555
S150.P01;20220712_16;17.026;69826
N094.P04;20220712_16;9.298;65121
S113.P01;20220712_16;15.857;50513
T091.P08;20220712_16;25.175;50460
Q085.P01;20220712_16;10.268;45366
M044.P03;20220712_16;3.415;42967
N044.P11;20220712_16;9.163;42297
N057.P10;20220712_16;8.629;35936
